metric,baseline,current,delta
baseline_run,2026-05-21_pacing_alpha_v01,draxos_mobile_battle_lab_v1,changed
overall_status,CRITICAL,REVIEW,changed
avg_duration,18.19s,18.91s,+0.72s
median_duration,17.7s,18.7s,+1s
short_rate_percent,2.38%,0%,-2.38%
long_rate_percent,0%,0%,0%
anti_stall_rate_percent,0.12%,0.12%,0%
raw_stress_dominance_max_percent,88.1%,77.62%,-10.48%
near_power_dominance_max_percent,79.37%,70.45%,-8.92%
near_power_win_rate:starter_wand,25.76%,25%,-0.76%
near_power_win_rate:cosmic_apprentice,36.84%,40.21%,+3.37%
near_power_win_rate:elemental_mixer,53.05%,58.33%,+5.28%
near_power_win_rate:pet_handler,79.37%,70.45%,-8.92%
near_power_win_rate:summoner,45.56%,47.01%,+1.45%
near_power_win_rate:defensive_caster,41.2%,46.94%,+5.74%
near_power_win_rate:dot_pressure,26.87%,33.45%,+6.58%
near_power_win_rate:burst_caster,76.13%,60%,-16.13%
