id,seed,level,player_build_id,opponent_build_id,player_archetype_id,opponent_archetype_id,player_power,opponent_power,duration,winner,reason,event_count,anti_stall,barrier_absorbed,healing,summons_created,player_final_hp_percent,opponent_final_hp_percent,alerts,damage_by_source,damage_by_type,player_damage_by_source,opponent_damage_by_source,player_damage_by_type,opponent_damage_by_type,spell_casts
L1_M0001,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0001:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:random:1,1,L1_starter_instrument_fixed,L1_starter_instrument_r1,starter_instrument,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,34,false,0,0,0,32.6,0,,weapon:681,arcano:405|terra:276,weapon:405,weapon:276,arcano:405,terra:276,
L1_M0002,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0002:battle_lab_character_rework_20260525:starter_instrument:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_starter_instrument_r1,L1_starter_instrument_fixed,starter_instrument,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,35,false,0,0,0,0,28.83,,weapon:697,arcano:405|terra:292,weapon:292,weapon:405,terra:292,arcano:405,
L1_M0003,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0003:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:mental_controller:L1:fixed:0,1,L1_starter_instrument_fixed,L1_mental_controller_fixed,starter_instrument,mental_controller,72,72,18.7,starter_instrument,combatant_defeated,40,false,0,0,0,6.23,0,,weapon:783,arcano:783,weapon:405,weapon:378,arcano:405,arcano:378,
L1_M0004,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0004:battle_lab_character_rework_20260525:mental_controller:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_mental_controller_fixed,L1_starter_instrument_fixed,mental_controller,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,41,false,0,0,0,0,2.6,,weapon:798,arcano:798,weapon:393,weapon:405,arcano:393,arcano:405,
L1_M0005,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0005:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:mental_controller:L1:random:1,1,L1_starter_instrument_fixed,L1_mental_controller_r1,starter_instrument,mental_controller,72,72,18.7,starter_instrument,combatant_defeated,34,false,0,0,0,34.94,0,,weapon:672,arcano:405|morte:267,weapon:405,weapon:267,arcano:405,morte:267,
L1_M0006,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0006:battle_lab_character_rework_20260525:mental_controller:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_mental_controller_r1,L1_starter_instrument_fixed,mental_controller,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,35,false,0,0,0,0,31.43,,weapon:687,arcano:405|morte:282,weapon:282,weapon:405,morte:282,arcano:405,
L1_M0007,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0007:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0,1,L1_starter_instrument_fixed,L1_elemental_mixer_fixed,starter_instrument,elemental_mixer,72,72,18.7,starter_instrument,combatant_defeated,40,false,0,0,0,31.69,0,,weapon:685,arcano:405|raio:280,weapon:405,weapon:280,arcano:405,raio:280,
L1_M0008,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0008:battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_elemental_mixer_fixed,L1_starter_instrument_fixed,elemental_mixer,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,41,false,0,0,0,0,28.83,,weapon:697,arcano:405|raio:292,weapon:292,weapon:405,raio:292,arcano:405,
L1_M0009,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0009:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L1:random:1,1,L1_starter_instrument_fixed,L1_elemental_mixer_r1,starter_instrument,elemental_mixer,72,102,17.7,elemental_mixer,combatant_defeated,39,false,0,0,0,0,3.12,,weapon:800,arcano:390|fogo:410,weapon:390,weapon:410,arcano:390,fogo:410,
L1_M0010,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0010:battle_lab_character_rework_20260525:elemental_mixer:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_elemental_mixer_r1,L1_starter_instrument_fixed,elemental_mixer,starter_instrument,102,72,17.7,elemental_mixer,combatant_defeated,38,false,0,0,0,6.75,0,,weapon:785,arcano:375|fogo:410,weapon:410,weapon:375,fogo:410,arcano:375,
L1_M0011,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0011:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0,1,L1_starter_instrument_fixed,L1_familiar_handler_fixed,starter_instrument,familiar_handler,72,72,18.7,starter_instrument,combatant_defeated,40,false,0,0,0,3.12,0,,weapon:795,arcano:795,weapon:405,weapon:390,arcano:405,arcano:390,
L1_M0012,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0012:battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_familiar_handler_fixed,L1_starter_instrument_fixed,familiar_handler,starter_instrument,72,72,18.7,familiar_handler,combatant_defeated,40,false,0,0,0,3.12,0,,weapon:795,arcano:795,weapon:405,weapon:390,arcano:405,arcano:390,
L1_M0013,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0013:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:familiar_handler:L1:random:1,1,L1_starter_instrument_fixed,L1_familiar_handler_r1,starter_instrument,familiar_handler,72,102,18.7,starter_instrument,combatant_defeated,40,false,0,0,0,25.97,0,,weapon:707,arcano:405|raio:302,weapon:405,weapon:302,arcano:405,raio:302,
L1_M0014,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0014:battle_lab_character_rework_20260525:familiar_handler:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_familiar_handler_r1,L1_starter_instrument_fixed,familiar_handler,starter_instrument,102,72,18.7,starter_instrument,combatant_defeated,41,false,0,0,0,0,22.86,,weapon:720,arcano:405|raio:315,weapon:315,weapon:405,raio:315,arcano:405,
L1_M0015,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0015:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:summoner:L1:fixed:0,1,L1_starter_instrument_fixed,L1_summoner_fixed,starter_instrument,summoner,72,102,18.7,starter_instrument,combatant_defeated,34,false,0,0,0,27.92,0,,weapon:699,arcano:405|morte:294,weapon:405,weapon:294,arcano:405,morte:294,
L1_M0016,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0016:battle_lab_character_rework_20260525:summoner:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_summoner_fixed,L1_starter_instrument_fixed,summoner,starter_instrument,102,72,18.7,starter_instrument,combatant_defeated,35,false,0,0,0,0,23.9,,weapon:716,arcano:405|morte:311,weapon:311,weapon:405,morte:311,arcano:405,
L1_M0017,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0017:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:summoner:L1:random:1,1,L1_starter_instrument_fixed,L1_summoner_r1,starter_instrument,summoner,72,72,18.7,starter_instrument,combatant_defeated,40,false,0,0,0,6.23,0,,weapon:783,arcano:783,weapon:405,weapon:378,arcano:405,arcano:378,
L1_M0018,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0018:battle_lab_character_rework_20260525:summoner:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_summoner_r1,L1_starter_instrument_fixed,summoner,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,41,false,0,0,0,0,2.6,,weapon:798,arcano:798,weapon:393,weapon:405,arcano:393,arcano:405,
L1_M0019,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0019:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:defensive_occultist:L1:fixed:0,1,L1_starter_instrument_fixed,L1_defensive_occultist_fixed,starter_instrument,defensive_occultist,72,72,18.7,starter_instrument,combatant_defeated,34,false,0,0,0,32.6,0,,weapon:681,arcano:405|terra:276,weapon:405,weapon:276,arcano:405,terra:276,
L1_M0020,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0020:battle_lab_character_rework_20260525:defensive_occultist:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_defensive_occultist_fixed,L1_starter_instrument_fixed,defensive_occultist,starter_instrument,72,72,18.7,starter_instrument,combatant_defeated,35,false,0,0,0,0,28.83,,weapon:697,arcano:405|terra:292,weapon:292,weapon:405,terra:292,arcano:405,
L1_M0021,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0021:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:defensive_occultist:L1:random:1,1,L1_starter_instrument_fixed,L1_defensive_occultist_r1,starter_instrument,defensive_occultist,72,102,15.7,defensive_occultist,combatant_defeated,35,false,0,0,0,0,10.39,,weapon:760,arcano:760,weapon:360,weapon:400,arcano:360,arcano:400,
L1_M0022,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0022:battle_lab_character_rework_20260525:defensive_occultist:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_defensive_occultist_r1,L1_starter_instrument_fixed,defensive_occultist,starter_instrument,102,72,15.7,defensive_occultist,combatant_defeated,34,false,0,0,0,21.82,0,,weapon:715,arcano:715,weapon:400,weapon:315,arcano:400,arcano:315,
L1_M0023,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0023:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:dot_pressure:L1:fixed:0,1,L1_starter_instrument_fixed,L1_dot_pressure_fixed,starter_instrument,dot_pressure,72,72,16.7,dot_pressure,combatant_defeated,37,false,0,0,0,0,6.75,,weapon:776,arcano:375|fisico:401,weapon:375,weapon:401,arcano:375,fisico:401,
L1_M0024,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L1_M0024:battle_lab_character_rework_20260525:dot_pressure:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,1,L1_dot_pressure_fixed,L1_starter_instrument_fixed,dot_pressure,starter_instrument,72,72,16.7,dot_pressure,combatant_defeated,36,false,0,0,0,10.39,0,,weapon:761,arcano:360|fisico:401,weapon:401,weapon:360,fisico:401,arcano:360,
