player_archetype_id,opponent_archetype_id,total,wins,win_rate_percent,avg_duration,status
starter_instrument,mental_controller,4,2,50,35.45,PASS
starter_instrument,elemental_mixer,4,2,50,35.7,PASS
starter_instrument,familiar_handler,4,1,25,31.2,REVIEW
starter_instrument,summoner,2,1,50,35.7,PASS
starter_instrument,defensive_occultist,5,2,40,33.5,PASS
starter_instrument,dot_pressure,7,2,28.57,33.63,REVIEW
starter_instrument,funeral_burst,21,3,14.29,29.49,REVIEW
mental_controller,starter_instrument,4,2,50,35.45,PASS
mental_controller,elemental_mixer,37,11,29.73,24.58,REVIEW
mental_controller,familiar_handler,31,13,41.94,24.54,PASS
mental_controller,summoner,38,10,26.32,23.98,REVIEW
mental_controller,defensive_occultist,31,2,6.45,33.86,REVIEW
mental_controller,dot_pressure,40,12,30,21.96,REVIEW
mental_controller,funeral_burst,58,17,29.31,23.84,REVIEW
elemental_mixer,starter_instrument,4,0,0,35.7,REVIEW
elemental_mixer,mental_controller,37,26,70.27,24.38,REVIEW
elemental_mixer,familiar_handler,33,18,54.55,23.22,PASS
elemental_mixer,summoner,40,20,50,23.69,PASS
elemental_mixer,defensive_occultist,34,18,52.94,31.44,PASS
elemental_mixer,dot_pressure,41,13,31.71,20.79,REVIEW
elemental_mixer,funeral_burst,144,40,27.78,24.27,REVIEW
familiar_handler,starter_instrument,4,4,100,31.2,CRITICAL
familiar_handler,mental_controller,31,26,83.87,24.47,CRITICAL
familiar_handler,elemental_mixer,33,16,48.48,23.15,PASS
familiar_handler,summoner,38,24,63.16,23.84,PASS
familiar_handler,defensive_occultist,38,17,44.74,32.21,PASS
familiar_handler,dot_pressure,40,15,37.5,21.78,PASS
familiar_handler,funeral_burst,63,28,44.44,21.53,PASS
summoner,starter_instrument,2,0,0,35.7,REVIEW
summoner,mental_controller,38,27,71.05,23.75,REVIEW
summoner,elemental_mixer,40,20,50,23.79,PASS
summoner,familiar_handler,38,13,34.21,23.92,REVIEW
summoner,defensive_occultist,48,20,41.67,32.22,PASS
summoner,dot_pressure,51,22,43.14,21.33,PASS
summoner,funeral_burst,51,23,45.1,23.01,PASS
defensive_occultist,starter_instrument,5,1,20,33.5,REVIEW
defensive_occultist,mental_controller,31,16,51.61,33.83,PASS
defensive_occultist,elemental_mixer,34,12,35.29,31.42,PASS
defensive_occultist,familiar_handler,38,7,18.42,32.48,REVIEW
defensive_occultist,summoner,48,8,16.67,32.36,REVIEW
defensive_occultist,dot_pressure,40,6,15,30.15,REVIEW
defensive_occultist,funeral_burst,64,15,23.44,32.03,REVIEW
dot_pressure,starter_instrument,7,5,71.43,33.63,REVIEW
dot_pressure,mental_controller,40,28,70,21.78,REVIEW
dot_pressure,elemental_mixer,41,27,65.85,20.71,REVIEW
dot_pressure,familiar_handler,40,25,62.5,21.6,PASS
dot_pressure,summoner,51,30,58.82,21.17,PASS
dot_pressure,defensive_occultist,40,28,70,29.95,REVIEW
dot_pressure,funeral_burst,71,35,49.3,20.06,PASS
funeral_burst,starter_instrument,21,19,90.48,29.49,CRITICAL
funeral_burst,mental_controller,58,45,77.59,23.61,CRITICAL
funeral_burst,elemental_mixer,144,112,77.78,24.27,CRITICAL
funeral_burst,familiar_handler,63,39,61.9,21.34,PASS
funeral_burst,summoner,51,30,58.82,22.9,PASS
funeral_burst,defensive_occultist,64,33,51.56,31.73,PASS
funeral_burst,dot_pressure,71,39,54.93,20.09,PASS
