id,level,power_band,total,wins,win_rate_percent,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,status
1_band_001,1,band_001,240,112,46.67,34.17,35.2,0,100,17.5,REVIEW
3_band_001,3,band_001,120,22,18.33,30.5,29.2,0,35,16.67,REVIEW
3_band_002,3,band_002,120,88,73.33,29.9,30.7,0,25,6.67,REVIEW
7_band_002,7,band_002,46,0,0,25.98,24.7,0,17.39,17.39,REVIEW
7_band_003,7,band_003,506,263,51.98,24.92,23.7,0,10.87,5.93,REVIEW
8_band_003,8,band_003,56,30,53.57,26.56,25.7,0,3.57,0,PASS
9_band_003,9,band_003,132,72,54.55,23.71,23.2,0,0,0,PASS
10_band_003,10,band_003,171,37,21.64,28.23,28.2,0,18.13,14.04,REVIEW
10_band_004,10,band_004,209,145,69.38,24.6,23.2,0,4.78,1.91,REVIEW
11_band_004,11,band_004,56,28,50,23.08,22.7,0,0,0,PASS
12_band_004,12,band_004,132,72,54.55,22.72,21.7,0,0,0,PASS
14_band_004,14,band_004,132,71,53.79,24.16,23.7,0,0,0,PASS
15_band_003,15,band_003,74,0,0,21,18.7,0,10.81,2.7,REVIEW
15_band_004,15,band_004,148,38,25.68,22.78,21.7,0,8.11,2.03,REVIEW
15_band_005,15,band_005,1184,653,55.15,21.88,20.2,0,14.36,5.74,REVIEW
16_band_005,16,band_005,132,75,56.82,20.26,20.7,0,0,0,PASS
17_band_005,17,band_005,132,69,52.27,19.87,19.95,0,0,0,PASS
18_band_005,18,band_005,12,6,50,20.03,20.2,0,0,0,PASS
19_band_005,19,band_005,12,7,58.33,18.32,18.7,0,0,0,PASS
25_band_004,25,band_004,50,0,0,21.54,18.7,0,16,4,REVIEW
25_band_005,25,band_005,600,319,53.17,21.75,18.7,0,14.83,3,PASS
40_band_005,40,band_005,380,160,42.11,25.14,23.2,0,20.53,17.89,REVIEW
