id,level,power_band,total,wins,win_rate_percent,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,status
1_band_001,1,band_001,240,181,75.42,21.95,20.7,0,0,0,CRITICAL
3_band_001,3,band_001,90,25,27.78,19.14,18.7,0,0,0,REVIEW
3_band_002,3,band_002,150,122,81.33,18.18,18.7,0,0,0,CRITICAL
7_band_002,7,band_002,30,2,6.67,19.03,19.2,0,0,0,REVIEW
7_band_003,7,band_003,210,124,59.05,18.4,17.7,0,0,0,PASS
10_band_003,10,band_003,180,79,43.89,18.71,18.7,0,0,0,PASS
10_band_004,10,band_004,60,47,78.33,16.02,15.7,0,0,0,CRITICAL
15_band_003,15,band_003,30,1,3.33,17.8,17.7,0,0,0,REVIEW
15_band_004,15,band_004,210,129,61.43,17.18,16.7,0,0,0,PASS
25_band_004,25,band_004,30,1,3.33,18.57,17.7,0,0,0,REVIEW
25_band_005,25,band_005,210,127,60.48,17.48,16.7,0,0,0,PASS
40_band_005,40,band_005,240,124,51.67,20.45,19.2,0,0,0.83,PASS
