id,kind,archetype_id,archetype_name,level,power,power_band,seed,weapon_id,spell_ids,passive_id,pet_id,weapon_level,weapon_quality_tier
L1_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,1,72,band_001,battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,varinha_cinzas,,,,1,0
L1_starter_instrument_r1,random,starter_instrument,Starter Instrument,1,72,band_001,battle_lab_character_rework_20260525:starter_instrument:L1:random:1,idolo_pedra_viva,,,,1,0
L1_mental_controller_fixed,fixed,mental_controller,Mental Controller,1,72,band_001,battle_lab_character_rework_20260525:mental_controller:L1:fixed:0,grimorio_veu,,,,1,0
L1_mental_controller_r1,random,mental_controller,Mental Controller,1,72,band_001,battle_lab_character_rework_20260525:mental_controller:L1:random:1,cajado_ossario,,,,1,0
L1_elemental_mixer_fixed,fixed,elemental_mixer,Elemental Mixer,1,72,band_001,battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0,orbe_tempestade,,,,1,0
L1_elemental_mixer_r1,random,elemental_mixer,Elemental Mixer,1,102,band_001,battle_lab_character_rework_20260525:elemental_mixer:L1:random:1,cetro_braseiro_negro,,,,1,1
L1_familiar_handler_fixed,fixed,familiar_handler,Familiar Handler,1,72,band_001,battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0,varinha_cinzas,,,,1,0
L1_familiar_handler_r1,random,familiar_handler,Familiar Handler,1,102,band_001,battle_lab_character_rework_20260525:familiar_handler:L1:random:1,orbe_tempestade,,,,1,1
L1_summoner_fixed,fixed,summoner,Summoner,1,102,band_001,battle_lab_character_rework_20260525:summoner:L1:fixed:0,cajado_ossario,,,,1,1
L1_summoner_r1,random,summoner,Summoner,1,72,band_001,battle_lab_character_rework_20260525:summoner:L1:random:1,grimorio_veu,,,,1,0
L1_defensive_occultist_fixed,fixed,defensive_occultist,Defensive Occultist,1,72,band_001,battle_lab_character_rework_20260525:defensive_occultist:L1:fixed:0,idolo_pedra_viva,,,,1,0
L1_defensive_occultist_r1,random,defensive_occultist,Defensive Occultist,1,102,band_001,battle_lab_character_rework_20260525:defensive_occultist:L1:random:1,varinha_cinzas,,,,1,1
L1_dot_pressure_fixed,fixed,dot_pressure,DoT Pressure,1,72,band_001,battle_lab_character_rework_20260525:dot_pressure:L1:fixed:0,athame_hematico,,,,1,0
L1_dot_pressure_r1,random,dot_pressure,DoT Pressure,1,72,band_001,battle_lab_character_rework_20260525:dot_pressure:L1:random:1,idolo_pedra_viva,,,,1,0
L1_funeral_burst_fixed,fixed,funeral_burst,Funeral Burst,1,72,band_001,battle_lab_character_rework_20260525:funeral_burst:L1:fixed:0,cajado_ossario,,,,1,0
L1_funeral_burst_r1,random,funeral_burst,Funeral Burst,1,72,band_001,battle_lab_character_rework_20260525:funeral_burst:L1:random:1,cajado_ossario,,,,1,0
L3_starter_instrument_fixed,fixed,starter_instrument,Starter Instrument,3,186,band_001,battle_lab_character_rework_20260525:starter_instrument:L3:fixed:0,varinha_cinzas,,,,2,0
L3_starter_instrument_r1,random,starter_instrument,Starter Instrument,3,216,band_001,battle_lab_character_rework_20260525:starter_instrument:L3:random:1,cetro_braseiro_negro,,,,3,0
L3_mental_controller_fixed,fixed,mental_controller,Mental Controller,3,291,band_002,battle_lab_character_rework_20260525:mental_controller:L3:fixed:0,grimorio_veu,sussurro_medo,,,2,0
