type,severity,matchup_id,seed,player_build_id,opponent_build_id,level,power,duration,winner,reason
ANTI_STALL,REVIEW,L3_M0087,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L3_M0087:battle_lab_character_rework_20260525:mental_controller:L3:random:1:battle_lab_character_rework_20260525:elemental_mixer:L3:random:1,L3_mental_controller_r1,L3_elemental_mixer_r1,3,291 vs 291,30.2,elemental_mixer,combatant_defeated
ANTI_STALL,REVIEW,L3_M0088,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L3_M0088:battle_lab_character_rework_20260525:elemental_mixer:L3:random:1:battle_lab_character_rework_20260525:mental_controller:L3:random:1,L3_elemental_mixer_r1,L3_mental_controller_r1,3,291 vs 291,30.2,mental_controller,combatant_defeated
ANTI_STALL,REVIEW,L3_M0109,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L3_M0109:battle_lab_character_rework_20260525:elemental_mixer:L3:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L3:random:1,L3_elemental_mixer_fixed,L3_elemental_mixer_r1,3,216 vs 291,30.2,elemental_mixer,combatant_defeated
ANTI_STALL,REVIEW,L3_M0110,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L3_M0110:battle_lab_character_rework_20260525:elemental_mixer:L3:random:1:battle_lab_character_rework_20260525:elemental_mixer:L3:fixed:0,L3_elemental_mixer_r1,L3_elemental_mixer_fixed,3,291 vs 216,30.2,elemental_mixer,combatant_defeated
ANTI_STALL,REVIEW,L8_M0031,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L8_M0031:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_2h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_2h_m12,PLBOT_bot_free_50_rewards_2h_m12,PLBOT_bot_free_100_rewards_2h_m12,8,486 vs 516,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L8_M0032,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L8_M0032:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_2h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_2h_m12,PLBOT_bot_free_100_rewards_2h_m12,PLBOT_bot_free_50_rewards_2h_m12,8,516 vs 486,30.2,starter_instrument,combatant_defeated
STOMP,REVIEW,L10_M0103,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L10_M0103:battle_lab_character_rework_20260525:mental_controller:L10:fixed:0:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_5h_m12,L10_mental_controller_fixed,PLBOT_bot_free_50_rewards_5h_m12,10,1496 vs 600,16.7,mental_controller,combatant_defeated
ANTI_STALL,REVIEW,L11_M0031,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L11_M0031:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_5h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_5h_m12,PLBOT_bot_free_100_rewards_5h_m12,PLBOT_bot_freemium_basic_5h_m12,11,702 vs 732,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L11_M0032,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L11_M0032:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_5h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_5h_m12,PLBOT_bot_freemium_basic_5h_m12,PLBOT_bot_free_100_rewards_5h_m12,11,732 vs 702,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L12_M0065,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L12_M0065:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_10h_m12:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_5h_m12,PLBOT_bot_free_50_rewards_10h_m12,PLBOT_bot_spender_light_5h_m12,12,744 vs 804,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L12_M0066,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L12_M0066:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_5h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_10h_m12,PLBOT_bot_spender_light_5h_m12,PLBOT_bot_free_50_rewards_10h_m12,12,804 vs 744,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0065,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0065:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_10h_m12,PLBOT_bot_free_50_rewards_15h_m12,PLBOT_bot_free_100_rewards_10h_m12,14,858 vs 918,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0066,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0066:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_10h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_15h_m12,PLBOT_bot_free_100_rewards_10h_m12,PLBOT_bot_free_50_rewards_15h_m12,14,918 vs 858,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0071,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0071:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_15h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_10h_m12,PLBOT_bot_free_50_rewards_15h_m12,PLBOT_bot_freemium_basic_10h_m12,14,858 vs 918,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0072,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0072:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_10h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_15h_m12,PLBOT_bot_freemium_basic_10h_m12,PLBOT_bot_free_50_rewards_15h_m12,14,918 vs 858,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0107,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0107:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_10h_m12:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_10h_m12,PLBOT_bot_free_100_rewards_10h_m12,PLBOT_bot_freemium_basic_10h_m12,14,918 vs 918,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L14_M0108,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L14_M0108:battle_lab_character_rework_20260525:progression_bot:bot_freemium_basic_10h_m12:battle_lab_character_rework_20260525:progression_bot:bot_free_100_rewards_10h_m12,PLBOT_bot_freemium_basic_10h_m12,PLBOT_bot_free_100_rewards_10h_m12,14,918 vs 918,30.2,starter_instrument,combatant_defeated
ANTI_STALL,REVIEW,L15_M0073,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0073:battle_lab_character_rework_20260525:starter_instrument:L15:random:1:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1,L15_starter_instrument_r1,L15_defensive_occultist_r1,15,960 vs 1921,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L15_M0074,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0074:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1:battle_lab_character_rework_20260525:starter_instrument:L15:random:1,L15_defensive_occultist_r1,L15_starter_instrument_r1,15,1921 vs 960,30.7,starter_instrument,combatant_defeated
STOMP,REVIEW,L15_M0139,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0139:battle_lab_character_rework_20260525:mental_controller:L15:fixed:0:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_mental_controller_fixed,PLBOT_bot_free_50_rewards_20h_m12,15,2502 vs 900,15.7,mental_controller,combatant_defeated
STOMP,REVIEW,L15_M0140,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0140:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:mental_controller:L15:fixed:0,PLBOT_bot_free_50_rewards_20h_m12,L15_mental_controller_fixed,15,900 vs 2502,15.7,mental_controller,combatant_defeated
STOMP,REVIEW,L15_M0277,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0277:battle_lab_character_rework_20260525:elemental_mixer:L15:random:1:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_elemental_mixer_r1,PLBOT_bot_free_50_rewards_20h_m12,15,2474 vs 900,12.7,elemental_mixer,combatant_defeated
STOMP,REVIEW,L15_M0278,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0278:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:elemental_mixer:L15:random:1,PLBOT_bot_free_50_rewards_20h_m12,L15_elemental_mixer_r1,15,900 vs 2474,12.7,elemental_mixer,combatant_defeated
STOMP,REVIEW,L15_M0319,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0319:battle_lab_character_rework_20260525:familiar_handler:L15:fixed:0:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_familiar_handler_fixed,PLBOT_bot_free_50_rewards_20h_m12,15,2452 vs 900,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0320,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0320:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:familiar_handler:L15:fixed:0,PLBOT_bot_free_50_rewards_20h_m12,L15_familiar_handler_fixed,15,900 vs 2452,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0359,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0359:battle_lab_character_rework_20260525:familiar_handler:L15:random:1:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_familiar_handler_r1,PLBOT_bot_free_50_rewards_20h_m12,15,2690 vs 900,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0360,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0360:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:familiar_handler:L15:random:1,PLBOT_bot_free_50_rewards_20h_m12,L15_familiar_handler_r1,15,900 vs 2690,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0433,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0433:battle_lab_character_rework_20260525:summoner:L15:random:1:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_summoner_r1,PLBOT_bot_free_50_rewards_20h_m12,15,2798 vs 900,15.7,summoner,combatant_defeated
STOMP,REVIEW,L15_M0434,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0434:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:summoner:L15:random:1,PLBOT_bot_free_50_rewards_20h_m12,L15_summoner_r1,15,900 vs 2798,15.7,summoner,combatant_defeated
ANTI_STALL,REVIEW,L15_M0499,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0499:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,L15_defensive_occultist_r1,PLBOT_bot_free_50_rewards_20h_m12,15,1921 vs 900,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L15_M0500,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0500:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1,PLBOT_bot_free_50_rewards_20h_m12,L15_defensive_occultist_r1,15,900 vs 1921,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L15_M0503,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0503:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_p12,L15_defensive_occultist_r1,PLBOT_bot_free_50_rewards_20h_p12,15,1921 vs 1579,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L15_M0504,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0504:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_p12:battle_lab_character_rework_20260525:defensive_occultist:L15:random:1,PLBOT_bot_free_50_rewards_20h_p12,L15_defensive_occultist_r1,15,1579 vs 1921,30.7,defensive_occultist,combatant_defeated
STOMP,REVIEW,L15_M0649,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0649:battle_lab_character_rework_20260525:progression_save:spender_light_10h:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,PL_spender_light_10h,PLBOT_bot_free_50_rewards_20h_m12,15,2410 vs 900,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0650,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0650:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:progression_save:spender_light_10h,PLBOT_bot_free_50_rewards_20h_m12,PL_spender_light_10h,15,900 vs 2410,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0667,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0667:battle_lab_character_rework_20260525:progression_save:max_spender_10h:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,PL_max_spender_10h,PLBOT_bot_free_50_rewards_20h_m12,15,2622 vs 900,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0668,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0668:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:progression_save:max_spender_10h,PLBOT_bot_free_50_rewards_20h_m12,PL_max_spender_10h,15,900 vs 2622,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0691,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0691:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_10h_p0,PLBOT_bot_free_50_rewards_20h_m12,PLBOT_bot_spender_light_10h_p0,15,900 vs 2410,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0692,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0692:battle_lab_character_rework_20260525:progression_bot:bot_spender_light_10h_p0:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,PLBOT_bot_spender_light_10h_p0,PLBOT_bot_free_50_rewards_20h_m12,15,2410 vs 900,15.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0697,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0697:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12:battle_lab_character_rework_20260525:progression_bot:bot_max_spender_10h_p0,PLBOT_bot_free_50_rewards_20h_m12,PLBOT_bot_max_spender_10h_p0,15,900 vs 2622,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L15_M0698,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L15_M0698:battle_lab_character_rework_20260525:progression_bot:bot_max_spender_10h_p0:battle_lab_character_rework_20260525:progression_bot:bot_free_50_rewards_20h_m12,PLBOT_bot_max_spender_10h_p0,PLBOT_bot_free_50_rewards_20h_m12,15,2622 vs 900,14.7,familiar_handler,combatant_defeated
STOMP,REVIEW,L40_M0031,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0031:battle_lab_character_rework_20260525:starter_instrument:L40:random:1:battle_lab_character_rework_20260525:mental_controller:L40:fixed:0,L40_starter_instrument_r1,L40_mental_controller_fixed,40,2550 vs 7905,16.7,mental_controller,combatant_defeated
STOMP,REVIEW,L40_M0032,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0032:battle_lab_character_rework_20260525:mental_controller:L40:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L40:random:1,L40_mental_controller_fixed,L40_starter_instrument_r1,40,7905 vs 2550,16.7,mental_controller,combatant_defeated
STOMP,REVIEW,L40_M0049,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0049:battle_lab_character_rework_20260525:starter_instrument:L40:random:1:battle_lab_character_rework_20260525:defensive_occultist:L40:random:1,L40_starter_instrument_r1,L40_defensive_occultist_r1,40,2550 vs 7956,16.7,defensive_occultist,combatant_defeated
STOMP,REVIEW,L40_M0050,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0050:battle_lab_character_rework_20260525:defensive_occultist:L40:random:1:battle_lab_character_rework_20260525:starter_instrument:L40:random:1,L40_defensive_occultist_r1,L40_starter_instrument_r1,40,7956 vs 2550,16.7,defensive_occultist,combatant_defeated
STOMP,REVIEW,L40_M0051,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0051:battle_lab_character_rework_20260525:starter_instrument:L40:random:1:battle_lab_character_rework_20260525:dot_pressure:L40:fixed:0,L40_starter_instrument_r1,L40_dot_pressure_fixed,40,2550 vs 8250,14.7,dot_pressure,combatant_defeated
STOMP,REVIEW,L40_M0052,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0052:battle_lab_character_rework_20260525:dot_pressure:L40:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L40:random:1,L40_dot_pressure_fixed,L40_starter_instrument_r1,40,8250 vs 2550,14.7,dot_pressure,combatant_defeated
ANTI_STALL,REVIEW,L40_M0073,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0073:battle_lab_character_rework_20260525:mental_controller:L40:fixed:0:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,L40_mental_controller_fixed,L40_defensive_occultist_fixed,40,7905 vs 7466,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L40_M0074,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0074:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0:battle_lab_character_rework_20260525:mental_controller:L40:fixed:0,L40_defensive_occultist_fixed,L40_mental_controller_fixed,40,7466 vs 7905,30.7,mental_controller,combatant_defeated
ANTI_STALL,REVIEW,L40_M0139,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0139:battle_lab_character_rework_20260525:elemental_mixer:L40:random:1:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,L40_elemental_mixer_r1,L40_defensive_occultist_fixed,40,6841 vs 7466,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L40_M0140,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0140:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L40:random:1,L40_defensive_occultist_fixed,L40_elemental_mixer_r1,40,7466 vs 6841,30.7,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L40_M0173,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0173:battle_lab_character_rework_20260525:familiar_handler:L40:random:1:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,L40_familiar_handler_r1,L40_defensive_occultist_fixed,40,6650 vs 7466,30.2,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L40_M0174,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0174:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0:battle_lab_character_rework_20260525:familiar_handler:L40:random:1,L40_defensive_occultist_fixed,L40_familiar_handler_r1,40,7466 vs 6650,30.2,defensive_occultist,combatant_defeated
ANTI_STALL,REVIEW,L40_M0199,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0199:battle_lab_character_rework_20260525:summoner:L40:random:1:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0,L40_summoner_r1,L40_defensive_occultist_fixed,40,6690 vs 7466,30.7,summoner,combatant_defeated
ANTI_STALL,REVIEW,L40_M0200,battle_lab:draxos_mobile_battle_lab_v3_initial_balance:L40_M0200:battle_lab_character_rework_20260525:defensive_occultist:L40:fixed:0:battle_lab_character_rework_20260525:summoner:L40:random:1,L40_defensive_occultist_fixed,L40_summoner_r1,40,7466 vs 6690,30.7,summoner,combatant_defeated
RAW_STRESS_DOMINANCE,REVIEW,,,familiar_handler,all,all,,19.45,familiar_handler,win_rate=73.78%
RAW_STRESS_DOMINANCE,REVIEW,,,dot_pressure,all,all,,17.9,dot_pressure,win_rate=66.12%
