type,severity,matchup_id,seed,player_build_id,opponent_build_id,level,power,duration,winner,reason
LONG,REVIEW,L1_M0001,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0001:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:random:1,L1_starter_instrument_fixed,L1_starter_instrument_r1,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0002,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0002:battle_lab_character_rework_20260525:starter_instrument:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_starter_instrument_r1,L1_starter_instrument_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0003,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0003:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:mental_controller:L1:fixed:0,L1_starter_instrument_fixed,L1_mental_controller_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0004,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0004:battle_lab_character_rework_20260525:mental_controller:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_mental_controller_fixed,L1_starter_instrument_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0005,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0005:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:mental_controller:L1:random:1,L1_starter_instrument_fixed,L1_mental_controller_r1,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0006,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0006:battle_lab_character_rework_20260525:mental_controller:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_mental_controller_r1,L1_starter_instrument_fixed,1,70 vs 70,35.2,mental_controller,combatant_defeated
LONG,REVIEW,L1_M0007,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0007:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0,L1_starter_instrument_fixed,L1_elemental_mixer_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0008,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0008:battle_lab_character_rework_20260525:elemental_mixer:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_elemental_mixer_fixed,L1_starter_instrument_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0009,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0009:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:elemental_mixer:L1:random:1,L1_starter_instrument_fixed,L1_elemental_mixer_r1,1,70 vs 100,33.7,elemental_mixer,combatant_defeated
LONG,REVIEW,L1_M0010,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0010:battle_lab_character_rework_20260525:elemental_mixer:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_elemental_mixer_r1,L1_starter_instrument_fixed,1,100 vs 70,33.7,elemental_mixer,combatant_defeated
LONG,REVIEW,L1_M0011,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0011:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0,L1_starter_instrument_fixed,L1_familiar_handler_fixed,1,70 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0012,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0012:battle_lab_character_rework_20260525:familiar_handler:L1:fixed:0:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_familiar_handler_fixed,L1_starter_instrument_fixed,1,70 vs 70,35.2,familiar_handler,combatant_defeated
LONG,REVIEW,L1_M0013,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0013:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:familiar_handler:L1:random:1,L1_starter_instrument_fixed,L1_familiar_handler_r1,1,70 vs 100,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0014,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0014:battle_lab_character_rework_20260525:familiar_handler:L1:random:1:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0,L1_familiar_handler_r1,L1_starter_instrument_fixed,1,100 vs 70,35.2,starter_instrument,combatant_defeated
LONG,REVIEW,L1_M0015,battle_lab:draxos_mobile_battle_lab_v4_source_identity:L1_M0015:battle_lab_character_rework_20260525:starter_instrument:L1:fixed:0:battle_lab_character_rework_20260525:summoner:L1:fixed:0,L1_starter_instrument_fixed,L1_summoner_fixed,1,70 vs 100,32.2,summoner,combatant_defeated
