id,level,power_band,total,wins,win_rate_percent,avg_duration,median_duration,short_rate_percent,long_rate_percent,anti_stall_rate_percent,status
1_band_001,1,band_001,240,112,46.67,34.17,35.2,0,100,17.5,REVIEW
3_band_001,3,band_001,120,22,18.33,30.5,29.2,0,35,16.67,REVIEW
3_band_002,3,band_002,120,88,73.33,29.9,30.7,0,25,6.67,REVIEW
7_band_002,7,band_002,46,0,0,25.98,24.7,0,17.39,17.39,REVIEW
7_band_003,7,band_003,506,263,51.98,24.92,23.7,0,10.87,5.93,REVIEW
8_band_002,8,band_002,12,9,75,33.7,33.7,0,100,0,REVIEW
10_band_003,10,band_003,486,130,26.75,29.19,29.2,0,21.4,17.28,REVIEW
10_band_004,10,band_004,270,218,80.74,24.3,23.2,0,3.7,1.48,CRITICAL
11_band_003,11,band_003,56,27,48.21,30.62,29.2,0,28.57,14.29,REVIEW
13_band_003,13,band_003,56,34,60.71,29.24,29.2,0,3.57,0,PASS
14_band_003,14,band_003,11,0,0,29.56,29.2,0,18.18,0,REVIEW
14_band_004,14,band_004,121,70,57.85,29.19,28.2,0,18.18,0,PASS
15_band_003,15,band_003,50,0,0,22.18,21.2,0,16,4,REVIEW
15_band_004,15,band_004,25,3,12,23.82,22.7,0,12,0,REVIEW
15_band_005,15,band_005,575,299,52,23.12,21.2,0,20.7,8.87,REVIEW
16_band_004,16,band_004,12,7,58.33,24.2,24.2,0,0,0,PASS
17_band_004,17,band_004,42,25,59.52,24.75,24.7,0,0,0,PASS
17_band_005,17,band_005,14,5,35.71,22.77,23.2,0,0,0,PASS
18_band_005,18,band_005,56,31,55.36,22.07,21.7,0,0,0,PASS
19_band_005,19,band_005,12,6,50,23.24,23.7,0,0,0,PASS
20_band_005,20,band_005,132,67,50.76,24.86,25.2,0,0,0,PASS
21_band_005,21,band_005,12,6,50,22.28,22.45,0,0,0,PASS
23_band_005,23,band_005,12,6,50,25.2,25.45,0,0,0,PASS
24_band_005,24,band_005,56,29,51.79,24.58,24.2,0,0,0,PASS
25_band_004,25,band_004,58,0,0,20.99,18.7,0,13.79,3.45,REVIEW
25_band_005,25,band_005,812,430,52.96,21.36,18.7,0,13.55,2.96,PASS
40_band_005,40,band_005,380,160,42.11,25.14,23.2,0,20.53,17.89,REVIEW
