category,milestone_id,player,opponent,total,wins,win_rate_percent,avg_duration,status
profile_vs_bot,2h,profile:free_50_rewards:2h,bot:free_50_rewards:2h,3,2,66.67,34.2,REVIEW
profile_vs_bot,2h,bot:free_50_rewards:2h,profile:free_50_rewards:2h,3,3,100,34.2,REVIEW
profile_vs_archetype,2h,archetype:starter_instrument,profile:free_100_rewards:2h,2,0,0,31.7,REVIEW
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:starter_instrument,2,2,100,31.7,REVIEW
profile_vs_archetype,2h,archetype:starter_instrument,profile:freemium_basic:2h,2,0,0,30.7,REVIEW
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:starter_instrument,2,2,100,30.7,REVIEW
profile_vs_archetype,2h,archetype:starter_instrument,profile:spender_light:2h,2,0,0,28.7,REVIEW
profile_vs_archetype,2h,profile:spender_light:2h,archetype:starter_instrument,2,2,100,28.7,REVIEW
profile_vs_archetype,2h,archetype:mental_controller,profile:free_100_rewards:2h,2,1,50,29.95,PASS
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:mental_controller,2,0,0,30.45,REVIEW
profile_vs_archetype,2h,archetype:mental_controller,profile:freemium_basic:2h,2,1,50,29.95,PASS
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:mental_controller,2,0,0,30.45,REVIEW
profile_vs_archetype,2h,archetype:mental_controller,profile:spender_light:2h,2,1,50,28.95,PASS
profile_vs_archetype,2h,profile:spender_light:2h,archetype:mental_controller,2,1,50,29.7,PASS
profile_vs_archetype,2h,archetype:elemental_mixer,profile:free_100_rewards:2h,2,2,100,24.95,REVIEW
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:elemental_mixer,2,0,0,24.95,REVIEW
profile_vs_archetype,2h,archetype:elemental_mixer,profile:freemium_basic:2h,2,2,100,24.95,REVIEW
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:elemental_mixer,2,0,0,24.95,REVIEW
profile_vs_archetype,2h,archetype:elemental_mixer,profile:spender_light:2h,2,2,100,24.95,REVIEW
profile_vs_archetype,2h,profile:spender_light:2h,archetype:elemental_mixer,2,0,0,24.95,REVIEW
profile_vs_archetype,2h,archetype:familiar_handler,profile:free_100_rewards:2h,2,2,100,26.45,REVIEW
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:familiar_handler,2,0,0,26.45,REVIEW
profile_vs_archetype,2h,archetype:familiar_handler,profile:freemium_basic:2h,2,2,100,26.45,REVIEW
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:familiar_handler,2,0,0,26.45,REVIEW
profile_vs_archetype,2h,archetype:familiar_handler,profile:spender_light:2h,2,1,50,26.2,PASS
profile_vs_archetype,2h,profile:spender_light:2h,archetype:familiar_handler,2,1,50,26.2,PASS
profile_vs_archetype,2h,archetype:summoner,profile:free_100_rewards:2h,2,1,50,31.7,PASS
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:summoner,2,0,0,31.95,REVIEW
profile_vs_archetype,2h,archetype:summoner,profile:freemium_basic:2h,2,1,50,31.7,PASS
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:summoner,2,0,0,31.95,REVIEW
profile_vs_archetype,2h,archetype:summoner,profile:spender_light:2h,2,1,50,31.7,PASS
profile_vs_archetype,2h,profile:spender_light:2h,archetype:summoner,2,1,50,31.7,PASS
profile_vs_archetype,2h,archetype:defensive_occultist,profile:free_100_rewards:2h,2,1,50,32.7,PASS
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:defensive_occultist,2,0,0,33.45,REVIEW
profile_vs_archetype,2h,archetype:defensive_occultist,profile:freemium_basic:2h,2,1,50,32.7,PASS
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:defensive_occultist,2,0,0,33.45,REVIEW
profile_vs_archetype,2h,archetype:defensive_occultist,profile:spender_light:2h,2,1,50,32.7,PASS
profile_vs_archetype,2h,profile:spender_light:2h,archetype:defensive_occultist,2,0,0,33.45,REVIEW
profile_vs_archetype,2h,archetype:dot_pressure,profile:free_100_rewards:2h,2,2,100,20.45,REVIEW
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:dot_pressure,2,0,0,20.45,REVIEW
profile_vs_archetype,2h,archetype:dot_pressure,profile:freemium_basic:2h,2,2,100,20.45,REVIEW
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:dot_pressure,2,0,0,20.45,REVIEW
profile_vs_archetype,2h,archetype:dot_pressure,profile:spender_light:2h,2,2,100,20.45,REVIEW
profile_vs_archetype,2h,profile:spender_light:2h,archetype:dot_pressure,2,0,0,20.45,REVIEW
profile_vs_archetype,2h,archetype:funeral_burst,profile:free_100_rewards:2h,2,2,100,21.95,REVIEW
profile_vs_archetype,2h,profile:free_100_rewards:2h,archetype:funeral_burst,2,0,0,21.95,REVIEW
profile_vs_archetype,2h,archetype:funeral_burst,profile:freemium_basic:2h,2,2,100,21.95,REVIEW
profile_vs_archetype,2h,profile:freemium_basic:2h,archetype:funeral_burst,2,0,0,21.95,REVIEW
profile_vs_archetype,2h,archetype:funeral_burst,profile:spender_light:2h,2,2,100,21.95,REVIEW
profile_vs_archetype,2h,profile:spender_light:2h,archetype:funeral_burst,2,0,0,21.95,REVIEW
profile_vs_profile,2h,profile:free_100_rewards:2h,profile:freemium_basic:2h,1,0,0,30.7,REVIEW
profile_vs_profile,2h,profile:freemium_basic:2h,profile:free_100_rewards:2h,1,1,100,30.7,REVIEW
