id,profile_id,milestone_id,available_po_osso,po_osso_spent,po_osso_remaining,crafted_life_potions,target_potion_stock,ossos_after_crafting
free_50_rewards_2h,free_50_rewards,2h,314,50,264,1,1,264.04
free_50_rewards_5h,free_50_rewards,5h,771,100,671,2,2,671.6
free_50_rewards_10h,free_50_rewards,10h,1534,150,1384,3,3,1384.2
free_50_rewards_15h,free_50_rewards,15h,2296,200,2096,4,4,2096.8
free_50_rewards_20h,free_50_rewards,20h,3059,250,2809,5,5,2809.4
free_100_rewards_2h,free_100_rewards,2h,568,50,518,1,1,518.4
free_100_rewards_5h,free_100_rewards,5h,1394,100,1294,2,2,1294
free_100_rewards_10h,free_100_rewards,10h,2770,150,2620,3,3,2620
free_100_rewards_15h,free_100_rewards,15h,4146,200,3946,4,4,3946
free_100_rewards_20h,free_100_rewards,20h,5522,250,5272,5,5,5272
freemium_basic_2h,freemium_basic,2h,647,50,597,1,1,597.72
freemium_basic_5h,freemium_basic,5h,1592,100,1492,2,2,1492.3
freemium_basic_10h,freemium_basic,10h,3166,150,3016,3,3,3016.6
freemium_basic_15h,freemium_basic,15h,4740,200,4540,4,4,4540.9
freemium_basic_20h,freemium_basic,20h,6315,250,6065,5,5,6065.2
spender_light_2h,spender_light,2h,907,50,857,1,1,857.49
spender_light_5h,spender_light,5h,2230,100,2130,2,2,2130.92
spender_light_10h,spender_light,10h,4436,150,4286,3,3,4286.65
spender_light_15h,spender_light,15h,6642,200,6442,4,4,6442.37
spender_light_20h,spender_light,20h,8848,250,8598,5,5,8598.1
max_spender_2h,max_spender,2h,1170,50,1120,1,1,1120.54
max_spender_5h,max_spender,5h,2872,100,2772,2,2,2772.35
max_spender_10h,max_spender,10h,5708,150,5558,3,3,5558.7
max_spender_15h,max_spender,15h,8545,200,8345,4,4,8345.05
max_spender_20h,max_spender,20h,11381,250,11131,5,5,11131.4
