milestone_id,profile_id,compared_to,power_gap_percent,level_gap,premium_spend,status
2h,free_50_rewards,free_100_rewards,-9.35,0,0,PASS
2h,freemium_basic,free_100_rewards,9.62,1,0,PASS
2h,spender_light,free_100_rewards,18.83,1,16,PASS
2h,max_spender,free_100_rewards,34.82,1,36,PASS
5h,free_50_rewards,free_100_rewards,-17.07,-1,0,PASS
5h,freemium_basic,free_100_rewards,1.64,0,0,PASS
5h,spender_light,free_100_rewards,17.55,1,41,PASS
5h,max_spender,free_100_rewards,27.28,1,90,PASS
10h,free_50_rewards,free_100_rewards,-23.83,-2,0,PASS
10h,freemium_basic,free_100_rewards,7.21,0,0,PASS
10h,spender_light,free_100_rewards,39.53,1,81,REVIEW
10h,max_spender,free_100_rewards,52.14,1,180,REVIEW
15h,free_50_rewards,free_100_rewards,-34.61,-2,0,PASS
15h,freemium_basic,free_100_rewards,5.44,0,0,PASS
15h,spender_light,free_100_rewards,12.23,0,122,PASS
15h,max_spender,free_100_rewards,32.35,1,270,PASS
20h,free_50_rewards,free_100_rewards,-22.47,-2,0,PASS
20h,freemium_basic,free_100_rewards,6.57,0,0,PASS
20h,spender_light,free_100_rewards,19.35,1,162,PASS
20h,max_spender,free_100_rewards,38.8,2,360,REVIEW
