id,milestone_id,profile_id,archetype_id,target_power,power_band,level,spell_ids,passive_id,pet_id
bot_free_50_rewards_2h_m12,2h,free_50_rewards,elemental_mixer,458,band_002,8,descarga_nervosa|marca_brasa,,
bot_free_50_rewards_2h_p0,2h,free_50_rewards,elemental_mixer,521,band_002,8,descarga_nervosa|marca_brasa,,
bot_free_50_rewards_2h_p12,2h,free_50_rewards,funeral_burst,584,band_002,8,descarga_nervosa|marca_brasa,,
bot_free_50_rewards_5h_m12,5h,free_50_rewards,elemental_mixer,730,band_003,11,descarga_nervosa|marca_brasa,pulso_tempestade,
bot_free_50_rewards_5h_p0,5h,free_50_rewards,elemental_mixer,829,band_003,11,descarga_nervosa|marca_brasa,pulso_tempestade,
bot_free_50_rewards_5h_p12,5h,free_50_rewards,funeral_burst,928,band_003,11,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_50_rewards_10h_m12,10h,free_50_rewards,elemental_mixer,1184,band_003,14,descarga_nervosa|marca_brasa,pulso_tempestade,
bot_free_50_rewards_10h_p0,10h,free_50_rewards,elemental_mixer,1345,band_004,14,descarga_nervosa|marca_brasa,pulso_tempestade,
bot_free_50_rewards_10h_p12,10h,free_50_rewards,funeral_burst,1506,band_004,14,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_50_rewards_15h_m12,15h,free_50_rewards,elemental_mixer,1777,band_004,16,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_50_rewards_15h_p0,15h,free_50_rewards,elemental_mixer,2019,band_004,16,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_50_rewards_15h_p12,15h,free_50_rewards,funeral_burst,2261,band_005,16,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_free_50_rewards_20h_m12,20h,free_50_rewards,elemental_mixer,2613,band_005,22,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_50_rewards_20h_p0,20h,free_50_rewards,elemental_mixer,2969,band_005,22,descarga_nervosa|marca_brasa,pulso_tempestade,serpe_tempestade
bot_free_50_rewards_20h_p12,20h,free_50_rewards,funeral_burst,3325,band_005,22,descarga_nervosa|marca_brasa,ossuario_interior,cranio_errante
bot_free_100_rewards_2h_m12,2h,free_100_rewards,funeral_burst,620,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_100_rewards_2h_p0,2h,free_100_rewards,funeral_burst,705,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_100_rewards_2h_p12,2h,free_100_rewards,funeral_burst,790,band_003,10,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_100_rewards_5h_m12,5h,free_100_rewards,funeral_burst,968,band_003,13,descarga_nervosa|marca_brasa,ossuario_interior,
bot_free_100_rewards_5h_p0,5h,free_100_rewards,funeral_burst,1100,band_003,13,descarga_nervosa|marca_brasa,ossuario_interior,
