id,profile_id,milestone_id,status,observed,target,note
life_potion_stock,free_50_rewards,2h,PASS,1/1 potions,>= 1,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_50_rewards,5h,PASS,2/2 potions,>= 2,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_50_rewards,10h,PASS,3/3 potions,>= 3,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_50_rewards,15h,PASS,4/4 potions,>= 4,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_50_rewards,20h,PASS,5/5 potions,>= 5,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_100_rewards,2h,PASS,1/1 potions,>= 1,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_100_rewards,5h,PASS,2/2 potions,>= 2,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_100_rewards,10h,PASS,3/3 potions,>= 3,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_100_rewards,15h,PASS,4/4 potions,>= 4,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,free_100_rewards,20h,PASS,5/5 potions,>= 5,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,freemium_basic,2h,PASS,1/1 potions,>= 1,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,freemium_basic,5h,PASS,2/2 potions,>= 2,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,freemium_basic,10h,PASS,3/3 potions,>= 3,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,freemium_basic,15h,PASS,4/4 potions,>= 4,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,freemium_basic,20h,PASS,5/5 potions,>= 5,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,spender_light,2h,PASS,1/1 potions,>= 1,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,spender_light,5h,PASS,2/2 potions,>= 2,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,spender_light,10h,PASS,3/3 potions,>= 3,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,spender_light,15h,PASS,4/4 potions,>= 4,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,spender_light,20h,PASS,5/5 potions,>= 5,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,max_spender,2h,PASS,1/1 potions,>= 1,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,max_spender,5h,PASS,2/2 potions,>= 2,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,max_spender,10h,PASS,3/3 potions,>= 3,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,max_spender,15h,PASS,4/4 potions,>= 4,Healthy save should show whether Po de Osso supports the intended lab potion stock.
life_potion_stock,max_spender,20h,PASS,5/5 potions,>= 5,Healthy save should show whether Po de Osso supports the intended lab potion stock.
