milestone_id,profile_id,compared_to,power_gap_percent,level_gap,premium_spend,status
2h,free_50_rewards,free_100_rewards,-26.1,-2,0,PASS
2h,freemium_basic,free_100_rewards,4.11,0,0,PASS
2h,spender_light,free_100_rewards,17.02,0,16,PASS
2h,max_spender,free_100_rewards,25.39,1,36,PASS
5h,free_50_rewards,free_100_rewards,-24.64,-2,0,PASS
5h,freemium_basic,free_100_rewards,5.36,0,0,PASS
5h,spender_light,free_100_rewards,26.82,1,41,PASS
5h,max_spender,free_100_rewards,31.36,1,90,PASS
10h,free_50_rewards,free_100_rewards,-37.76,-3,0,PASS
10h,freemium_basic,free_100_rewards,2.41,0,0,PASS
10h,spender_light,free_100_rewards,19.25,1,81,PASS
10h,max_spender,free_100_rewards,26.89,1,180,PASS
15h,free_50_rewards,free_100_rewards,-23.7,-4,0,PASS
15h,freemium_basic,free_100_rewards,2,-1,0,PASS
15h,spender_light,free_100_rewards,15.04,0,122,PASS
15h,max_spender,free_100_rewards,21.2,1,270,PASS
20h,free_50_rewards,free_100_rewards,-26.31,-4,0,PASS
20h,freemium_basic,free_100_rewards,-0.2,-1,0,PASS
20h,spender_light,free_100_rewards,8.81,1,162,PASS
20h,max_spender,free_100_rewards,12.61,1,360,PASS
